home|Главная
aboutUs|О нас
products|Продукты
contactUs|Контакты
freeConsulting|Бесплатная консультация
companyHistory|История компании
companyHistoryDesc|АО "БФГ" было основано в 2019 году, но история наших разработок началась еще в 1997 году. За годы нашего существования мы добились значительных успехов в области виртуализации и информационной безопасности.
consultation|Консультация
addressInfo|г. Москва, ул Гончарная, 38, 2/1/11, офис 8
workDays|Будние дни: с 09.00 до 18.00 Воскресенье: закрыто
whoWeAre|КТО МЫ
whoWeAreText1|Разработка, Внедрение и Поддержка
whoWeAreText2|Систем Виртуализации и Средств Защиты Информации
whoWeAreItem1Title|User-friendly интерфейс
whoWeAreItem4Desc|Надежное и эффективное резервное копирование данных.
whoWeAreItem5Title|Поддержка 3D
whoWeAreItem5Desc|Поддержка трехмерной графики для оптимального опыта работы с виртуальными машинами.
whoWeAreItem3Desc|Мы способствуем развитию отечественных технологий и продуктов.
whoWeAreItem1Desc|Мы делаем технологии доступными и понятными для всех пользователей.
whoWeAreItem2Desc|Наши решения обеспечивают высокий уровень безопасности и защиты информации.
whoWeAreItem2Title|Защита информации
whoWeAreItem3Title|Импортозамещение
whoWeAreItem4Title|Резервное копирование
webDevelopment|Веб-разработка
whoWeAreItem5Desc|У нас есть нечто большее, чем просто хорошие навыки программирования. Наш опыт выделяет нас среди других веб-разработчиков.
mobileDevelopment|Мобильная разработка
whoWeAreItem6Desc|Создавайте сложное корпоративное программное обеспечение, обеспечивайте надежную интеграцию программного обеспечения, модернизируйте свою устаревшую систему.
uIUXDesign|Дизайн пользовательского интерфейса/UX
whoWeAreItem7Desc|Создайте необходимый вам продукт в срок с опытной командой, которая использует четкий и эффективный процесс проектирования.
qATesting|Контроль качества и тестирование
whoWeAreItem8Desc|Обратитесь к нашим специалистам для проведения комплексного, многоэтапного тестирования и аудита вашего программного обеспечения.
iTConsultancy|ИТ-консалтинг
whoWeAreItem9Desc|Доверьтесь нашим лучшим специалистам в устранении проблемных точек рабочего процесса, внедрении новых технологий и консолидации портфолио приложений.
dedicatedTeam|Преданная своему делу команда
whoWeAreItem10Desc|За последнее десятилетие наши клиенты добились успеха, используя процесс создания и мотивации Intellectsoft.
address|Адрес
phone|Телефон
eMail|электронная почта
companyHistoryDesc2|АО "БФГ" было основано в 2019 году, но история наших разработок началась еще в 1997 году. За годы нашего существования мы добились значительных успехов в области виртуализации и информационной безопасности.
footerDesc|Авторское право © 2023 АО "БФГ". Все права защищены.
aboutCompany|О компании
aboutCompanyDesc|Компания АО «БФГ» - российский разработчик программного обеспечения и средств защиты информации. Компания разрабатывает решения в области операционных систем, средств виртуализации и систем хранения данных, а также предоставляет услуги по проектированию защищенных масштабируемых информационных систем. Все работы ведутся с учетом требований по информационной безопасности.
aboutCompanyDesc2|Компания кроме собственных решений осуществляет поддержку, внедрение и сопровождение отечественного ПО виртуализациии и систем хранения данных из реестра отечественного ПО:
aboutCompanyDesc3|ПК "Звезда"
aboutCompanyDesc4|СХД "Шторм"
